232 trajectories on 4 workers (56 already complete)
[199/232] three-plane-three-peaks s2 vwrs-n peak=0.05 placement 0.0154 end_to_end 0.0186
[200/232] three-plane-three-peaks s2 gpr-var peak=0.05 placement 0.0206 end_to_end 0.0209
[201/232] three-plane-three-peaks s2 vurs peak=0.05 placement 0.0128 end_to_end 0.0150
[202/232] three-plane-three-peaks s2 gpr-u50-g50 peak=0.05 placement 0.0168 end_to_end 0.0179
[203/232] two-plane-asymmetric s0 space-filling peak=0.05 placement 0.0197 end_to_end 0.0228
[204/232] three-plane-three-peaks s2 vurs-n peak=0.05 placement 0.0116 end_to_end 0.0139
[205/232] three-plane-three-peaks s2 vurs-a peak=0.05 placement 0.0123 end_to_end 0.0147
[206/232] two-plane-asymmetric s0 vwrs peak=0.05 placement 0.0116 end_to_end 0.0142
[207/232] two-plane-asymmetric s0 gpr-var peak=0.05 placement 0.0213 end_to_end 0.0208
[208/232] three-plane-three-peaks s2 gpr-n peak=0.05 placement 0.0136 end_to_end 0.0148
[209/232] two-plane-asymmetric s0 vwrs-n peak=0.05 placement 0.0127 end_to_end 0.0144
[210/232] two-plane-asymmetric s0 vurs peak=0.05 placement 0.0117 end_to_end 0.0140
[211/232] two-plane-asymmetric s0 gpr-u50-g50 peak=0.05 placement 0.0146 end_to_end 0.0161
[212/232] two-plane-asymmetric s1 space-filling peak=0.05 placement 0.0160 end_to_end 0.0184
[213/232] two-plane-asymmetric s0 vurs-n peak=0.05 placement 0.0113 end_to_end 0.0138
[214/232] two-plane-asymmetric s0 vurs-a peak=0.05 placement 0.0180 end_to_end 0.0189
[215/232] two-plane-asymmetric s1 vwrs peak=0.05 placement 0.0090 end_to_end 0.0118
[216/232] two-plane-asymmetric s1 gpr-var peak=0.05 placement 0.0195 end_to_end 0.0199
[217/232] two-plane-asymmetric s0 gpr-n peak=0.05 placement 0.0162 end_to_end 0.0186
[218/232] two-plane-asymmetric s1 vwrs-n peak=0.05 placement 0.0080 end_to_end 0.0116
[219/232] two-plane-asymmetric s1 vurs peak=0.05 placement 0.0099 end_to_end 0.0116
[220/232] two-plane-asymmetric s1 gpr-u50-g50 peak=0.05 placement 0.0146 end_to_end 0.0172
[221/232] two-plane-asymmetric s2 space-filling peak=0.05 placement 0.0273 end_to_end 0.0285
[222/232] two-plane-asymmetric s1 vurs-n peak=0.05 placement 0.0098 end_to_end 0.0117
[223/232] two-plane-asymmetric s1 vurs-a peak=0.05 placement 0.0158 end_to_end 0.0166
[224/232] two-plane-asymmetric s2 vwrs peak=0.05 placement 0.0110 end_to_end 0.0128
[225/232] two-plane-asymmetric s1 gpr-n peak=0.05 placement 0.0135 end_to_end 0.0151
[226/232] two-plane-asymmetric s2 vwrs-n peak=0.05 placement 0.0123 end_to_end 0.0139
[227/232] two-plane-asymmetric s2 gpr-var peak=0.05 placement 0.0204 end_to_end 0.0211
[228/232] two-plane-asymmetric s2 vurs peak=0.05 placement 0.0111 end_to_end 0.0122
[229/232] two-plane-asymmetric s2 gpr-u50-g50 peak=0.05 placement 0.0153 end_to_end 0.0170
[230/232] two-plane-asymmetric s2 vurs-n peak=0.05 placement 0.0107 end_to_end 0.0125
[231/232] two-plane-asymmetric s2 vurs-a peak=0.05 placement 0.0136 end_to_end 0.0152
[232/232] two-plane-asymmetric s2 gpr-n peak=0.05 placement 0.0138 end_to_end 0.0156
saved results\noise-2d-2026-09-21\results.json (2304 rows, 0 failures)
